Epoch,MSE Loss
1,0.0587665070693388
2,0.0010668338369146954
3,0.0009085217682661971
4,0.0008391298567100117
5,0.0007872031624342695
6,0.0007307668695122831
7,0.0007044617657946354
8,0.0006873063528608462
9,0.0006877241130159409
10,0.0006735627954454954
11,0.0006610071130260756
12,0.0006700527112655065
13,0.0007131351626917927
14,0.0006586519830980924
15,0.0006479261716810504
16,0.0006458994024864363
17,0.00065294294391707
18,0.0006239099931446146
19,0.0006135071695704634
20,0.0006852007122856945
21,0.0006189116134515239
22,0.0005970536294626072
23,0.0005830402380390162
24,0.000587893904324759
25,0.0005313907410406197
26,0.0004927915563004919
27,0.0004806122591684538
28,0.00048599413841859333
29,0.00042276073482180773
30,0.0004550120917243745
31,0.0004218362273941575
32,0.0004008394171250984
33,0.00039314016100467633
34,0.0003923765152985989
35,0.000368258484134761
36,0.00035098832988835594
37,0.0003519153558752603
38,0.00033282553475281156
39,0.0003138638092894797
40,0.0002967933808880237
41,0.000297540403186792
42,0.0002851322087398903
43,0.00028345379380172945
44,0.00027271937896902846
45,0.00028242210882362324
46,0.00027163231155740233
47,0.00026824526947974745
48,0.00025886017667491816
49,0.0002620297128925341
50,0.0002587763115621379
