Epoch,MSE Loss
1,0.00474504290387914
2,0.0006490171977525784
1,0.0004344184295001065
2,0.0004564749246532705
3,0.00042644167529538716
4,0.00042120726225726283
5,0.00031750441950053856
6,0.00033801113709665113
7,0.0002715238139595992
8,0.0002706544539453009
9,0.0002698753786616079
10,0.00026780180905916495
11,0.0002365680724223138
12,0.0002098502020291764
13,0.00025009852252979827
14,0.00020459828601815389
15,0.00018527273065653085
16,0.00018459603042073367
17,0.00017392776241346533
18,0.00017320123136717788
19,0.00017198933796357273
20,0.00015783597245899728
21,0.00015638995409972267
22,0.00016170325877990562
23,0.00015448551347516413
24,0.00015146045396047865
25,0.0001495785546568287
26,0.0001867955499821821
27,0.00017773382837226058
28,0.00015498736946837098
29,0.00015096665260393315
30,0.0001543160411125023
31,0.0001437323886016707
32,0.00015260464392162653
33,0.00016180935062948265
34,0.00014849756179400074
35,0.0001452886013895396
36,0.00015184452862134398
37,0.0001507369719446514
38,0.00014576478593476673
39,0.00015146393338404273
40,0.0001377003371898253
41,0.00014163907796197842
42,0.00014110217509571358
43,0.00014487730767440452
44,0.00020726410492797085
45,0.00014698794186390133
46,0.00013617414919685366
47,0.0001433034880291315
48,0.00013903991970841566
49,0.00013477316163819827
50,0.00013710677917010293
